SxSx = (24,24) 
(0,0) (-2.24179031172e-08,0) (1.26222793259e-08,0) (1.59197724841e-10,0) (-1.39775422139e-10,0) (1.28857278233e-08,0) (-0.124068360005,0) (2.61115090828e-07,0) (-2.81128183039e-07,0) (-8.66642208344e-09,0) (2.93103248519e-10,0) (-4.88481772311e-09,0) (9.35418614968e-08,0) (-1.23996640755e-07,0) (3.97775805079e-08,0) (-2.43594576179e-08,0) (1.32600635587e-09,0) (-4.18000440525e-10,0) (3.08079286008e-12,0) (1.47692825267e-12,0) (-2.52646908164e-11,0) (2.09724818224e-11,0) (-3.88443305146e-13,0) (4.11056346207e-13,0)  
(0,0) (0,0) (-0.127174123214,0) (3.1689670697e-09,0) (2.20228129981e-09,0) (-9.40058767808e-11,0) (1.32641625619e-08,0) (-8.72702208204e-12,0) (1.07607133936e-11,0) (1.14874270774e-10,0) (1.14097452511e-14,0) (-5.79733594148e-15,0) (-4.09713849445e-12,0) (4.05819946624e-12,0) (-7.59666103891e-12,0) (1.41757383811e-11,0) (2.50628434527e-14,0) (-3.61282546913e-14,0) (2.58213740593e-17,0) (-2.42013399884e-17,0) (8.30134166485e-16,0) (-6.39262183773e-15,0) (-3.59561623589e-18,0) (8.42428263975e-18,0)  
(0,0) (0,0) (0,0) (-1.21356204725e-09,0) (-3.60594729264e-09,0) (2.9313555687e-11,0) (-1.20473786269e-08,0) (1.30417531669e-11,0) (-1.78017414808e-11,0) (-9.924762884e-11,0) (-9.21826996578e-15,0) (2.62772834109e-15,0) (4.30511545304e-12,0) (-3.69165602388e-12,0) (7.66225832175e-12,0) (-7.164326057e-12,0) (-1.38475840101e-14,0) (2.26620207844e-14,0) (-2.05508444166e-18,0) (-2.59246767077e-17,0) (-1.48399560279e-15,0) (3.5630938106e-15,0) (8.70069468112e-17,0) (1.36919057776e-16,0)  
(0,0) (0,0) (0,0) (0,0) (-0.12688166888,0) (3.18102520753e-09,0) (-8.03395781289e-11,0) (1.60161764331e-11,0) (-1.10429607326e-12,0) (-3.4150940701e-09,0) (-3.85071185544e-14,0) (7.34150885049e-14,0) (-4.07614478653e-13,0) (3.05310536228e-13,0) (4.87885675838e-10,0) (-5.69312504867e-10,0) (-4.58915304098e-14,0) (4.82227431789e-14,0) (2.19966771045e-16,0) (5.1374214868e-17,0) (-4.56836974664e-14,0) (5.11604066263e-14,0) (1.03217100202e-16,0) (-4.24415100354e-17,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (-5.73853303928e-09,0) (2.55350614834e-11,0) (-3.1294951145e-12,0) (7.37402393505e-13,0) (2.92767612312e-09,0) (3.45739590932e-14,0) (-4.46531056967e-14,0) (2.66402745349e-13,0) (-1.78817904834e-13,0) (-4.10847565191e-10,0) (4.11240741661e-10,0) (3.94130169209e-14,0) (-4.07776815463e-14,0) (-2.13299587435e-16,0) (5.31809668892e-17,0) (3.85782820546e-14,0) (-4.16694564292e-14,0) (-2.18275457177e-16,0) (7.39868251494e-17,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-7.3726877459e-09,0) (-6.95577336345e-11,0) (-1.43854200755e-09,0) (-0.123814320907,0) (-3.9694752922e-08,0) (4.18531810332e-08,0) (4.42826984017e-08,0) (-8.75186973759e-08,0) (0.0187752600805,0) (-0.0169454299221,0) (-4.38402517613e-07,0) (4.79474384588e-07,0) (2.43838136341e-09,0) (6.32145120722e-09,0) (-1.58630037648e-06,0) (1.08065361499e-06,0) (2.47530975264e-10,0) (-1.16406416998e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-2.75007701655e-07,0) (4.7797586599e-07,0) (6.11373797814e-09,0) (-1.69300894097e-09,0) (5.82763558633e-09,0) (-1.79019042312e-08,0) (1.67271764253e-07,0) (-6.86279804124e-09,0) (1.84980937962e-08,0) (-1.69635832252e-11,0) (4.38292765067e-10,0) (-4.56911776696e-12,0) (3.03663274593e-12,0) (-1.78439607446e-12,0) (1.47721786746e-11,0) (-2.42410098372e-13,0) (2.71064972301e-12,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.130508508652,0) (-1.0328939657e-09,0) (-8.27185906138e-06,0) (8.26438219233e-06,0) (9.64585830644e-08,0) (-1.96002570812e-07,0) (7.3399833926e-09,0) (-4.38472825058e-09,0) (8.43024068895e-07,0) (-1.16859645101e-06,0) (-1.35852937886e-12,0) (2.02939165658e-12,0) (9.8939256544e-13,0) (-6.39530719029e-13,0) (-2.03149380682e-11,0) (3.84916659125e-11,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (3.44129424645e-09,0) (1.32759427214e-05,0) (-8.35822640114e-06,0) (-1.56363889909e-07,0) (1.56247426865e-07,0) (-8.61644318931e-09,0) (4.27455233048e-09,0) (-7.63284430144e-07,0) (7.34513138918e-07,0) (-7.20677279509e-13,0) (4.40902112043e-13,0) (-4.34028667094e-12,0) (2.34680951071e-12,0) (1.00793629355e-12,0) (-1.34396134845e-11,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (7.57555808025e-08,0) (-5.85503605334e-08,0) (-5.45886074913e-08,0) (8.57091318833e-08,0) (-0.034550710977,0) (0.0188012956996,0) (5.01068254521e-07,0) (-4.25097958328e-07,0) (-5.3679995216e-09,0) (-1.42377267278e-09,0) (1.6758263968e-06,0) (-1.15540962154e-06,0) (-3.75395725655e-10,0) (6.87294765541e-10,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.130883668958,0) (4.71392460963e-07,0) (-4.95759313374e-07,0) (-3.25678848078e-08,0) (2.75733726326e-09,0) (0.000349279241777,0) (-0.000355958491234,0) (3.12721316086e-11,0) (-2.94628709431e-11,0) (-2.0176667678e-12,0) (1.00824962797e-11,0) (-7.80001918088e-10,0) (1.04038108521e-09,0)  
