SySy = (24,24) 
(0,0) (-2.26582046112e-08,0) (1.61046278406e-08,0) (-0.125085457994,0) (1.39193737269e-10,0) (-1.73351377155e-08,0) (1.3542699973e-09,0) (4.72833562928e-12,0) (5.76443397183e-12,0) (6.80700371023e-15,0) (-4.89427322187e-12,0) (-3.59003510897e-14,0) (-1.82576208687e-10,0) (-2.79657113283e-12,0) (4.95462108268e-14,0) (5.12775888297e-11,0) (2.40916200367e-14,0) (4.5286987298e-13,0) (1.97692140819e-12,0) (-5.25731863163e-10,0) (-6.17462189484e-11,0) (1.30049066049e-08,0) (-4.59410832066e-13,0) (-3.23535833069e-12,0)  
(0,0) (0,0) (-9.79355206809e-11,0) (1.28122943435e-08,0) (4.13927831619e-07,0) (-6.87111630614e-11,0) (1.04104906635e-08,0) (6.37173262012e-09,0) (2.89045833608e-08,0) (1.45617121113e-06,0) (-2.91419404014e-08,0) (1.39242395476e-08,0) (-3.18960114263e-07,0) (1.29542263117e-07,0) (-1.85969884582e-06,0) (9.27394061491e-06,0) (-1.1486103398e-08,0) (-3.62452091895e-06,0) (4.5632118288e-08,0) (-1.27701346687e-08,0) (-1.00052565489e-05,0) (-0.121469064558,0) (4.11487912677e-06,0) (-1.65422393798e-09,0)  
(0,0) (0,0) (0,0) (-2.39009488512e-08,0) (3.43609944785e-09,0) (-0.125700448569,0) (5.49478615047e-11,0) (-6.01260455007e-12,0) (-1.86838028032e-11,0) (1.23122429102e-13,0) (1.31498909904e-11,0) (-2.7745173998e-14,0) (-2.88051328753e-09,0) (1.98953258234e-10,0) (-1.33966107232e-13,0) (7.01389048164e-13,0) (3.15902056715e-14,0) (1.30604685043e-13,0) (-2.26467217345e-10,0) (-1.05205032465e-10,0) (-8.61515578338e-13,0) (-1.27941754713e-10,0) (-1.85354683832e-13,0) (9.86507126467e-12,0)  
(0,0) (0,0) (0,0) (0,0) (-1.76583707912e-10,0) (2.03919300306e-08,0) (-5.78416457699e-10,0) (1.01550829359e-11,0) (2.59524344552e-12,0) (-7.7428833e-14,0) (-4.27928483764e-13,0) (6.32555769133e-14,0) (1.7836423833e-10,0) (2.45225646222e-12,0) (-8.58998588772e-14,0) (-5.80021446097e-11,0) (-2.30785250278e-14,0) (-5.90386221001e-13,0) (-1.65881142391e-12,0) (2.81747857401e-10,0) (5.32285928687e-11,0) (-1.15081550473e-08,0) (4.54130931446e-13,0) (-2.63849183158e-12,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (-6.39747613806e-09,0) (1.03135465355e-06,0) (-1.1532888588e-08,0) (-1.47713954248e-10,0) (-2.05700703893e-10,0) (-5.8363839976e-09,0) (7.59635984093e-09,0) (-0.12228772895,0) (3.54264897416e-06,0) (1.01637100623e-09,0) (-2.9587212371e-08,0) (-1.00751227901e-08,0) (4.5160248892e-06,0) (-2.44703380785e-06,0) (-1.23166268009e-06,0) (1.08488842149e-07,0) (-2.83924699737e-07,0) (-3.98527076986e-06,0) (1.91688174854e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-2.65298562842e-11,0) (-2.73024399762e-12,0) (-1.19757461675e-12,0) (-1.95517606902e-13,0) (6.68844110699e-13,0) (3.5303282405e-14,0) (3.5722439835e-09,0) (-2.40406860841e-10,0) (1.09674951911e-13,0) (-1.26288087348e-12,0) (-2.47378673097e-14,0) (-1.2689499234e-13,0) (2.02487866807e-10,0) (8.95156899428e-13,0) (1.24423240437e-12,0) (2.40842839154e-10,0) (1.73697495444e-13,0) (2.35998367223e-12,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-6.55513724235e-10,0) (4.47493586094e-07,0) (-2.62304837138e-08,0) (-2.26225743132e-07,0) (-5.52898022921e-06,0) (-1.32487678592e-06,0) (5.81031383401e-05,0) (3.00092714579e-08,0) (7.8452420477e-07,0) (4.82871643929e-06,0) (2.15618396022e-09,0) (-6.00958870407e-05,0) (-0.131966336027,0) (-7.38412794109e-07,0) (-1.73968104121e-08,0) (9.13407332363e-09,0) (4.13992119163e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (8.21085055916e-06,0) (-5.92924967943e-06,0) (-2.03319603611e-06,0) (-4.31723857105e-05,0) (7.73995576973e-09,0) (1.42622552327e-05,0) (5.17477712124e-06,0) (3.12467885706e-08,0) (3.68373444507e-05,0) (-6.71733205284e-06,0) (-1.62589788264e-05,0) (1.56314453411e-09,0) (-2.83917076689e-08,0) (-1.07174599134e-08,0) (7.50186302525e-06,0) (-0.12078321738,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-3.75863125792e-08,0) (-0.129499872251,0) (5.89247611604e-06,0) (4.61336794786e-10,0) (2.97226939086e-06,0) (1.76091382592e-08,0) (-1.30607595542e-06,0) (-2.5004037144e-06,0) (6.3033198715e-06,0) (-3.67464700288e-06,0) (-2.05882104895e-07,0) (1.49257274672e-06,0) (-2.29911031813e-08,0) (-7.65456723935e-06,0) (-1.90029729905e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (6.58812248031e-08,0) (1.43279428934e-08,0) (8.50904129165e-09,0) (-8.59983281633e-07,0) (-0.132544422402,0) (-6.01264305805e-05,0) (-2.44130397844e-08,0) (1.71564569362e-08,0) (7.52705414264e-07,0) (2.03987675864e-08,0) (6.2115923281e-05,0) (-1.70154856018e-06,0) (-9.2257732972e-09,0) (5.18361022391e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-1.6139252616e-05,0) (1.1002534495e-08,0) (-3.16789247335e-06,0) (-2.81351370657e-08,0) (1.59391644589e-06,0) (3.95471239266e-06,0) (-7.51843000543e-06,0) (3.24549536632e-06,0) (1.67017771676e-07,0) (-1.31929345576e-06,0) (2.99822406154e-08,0) (6.63728524983e-06,0) (-7.93195507945e-07,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-1.68194919151e-08,0) (2.04067382472e-07,0) (-1.36510897098e-08,0) (-2.30505482846e-06,0) (-0.119022248044,0) (1.26336286622e-05,0) (2.42624063384e-07,0) (4.85794980635e-06,0) (2.06631562258e-06,0) (-1.55162772742e-08,0) (-1.20958975491e-05,0) (3.65967438479e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-8.78328268585e-06,0) (-1.75340508486e-08,0) (9.80261235866e-08,0) (2.32940903313e-09,0) (-8.63886395932e-06,0) (2.48652215877e-06,0) (1.46371947781e-06,0) (-1.24431260253e-07,0) (2.85839288687e-07,0) (4.54021168013e-06,0) (-2.1365606752e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.41149571468e-06,0) (-1.22904600036e-10,0) (3.89585176136e-07,0) (-1.62885285489e-07,0) (-0.129182040157,0) (-6.68193181709e-05,0) (-8.57898174692e-09,0) (-3.32533909747e-07,0) (2.24607552936e-07,0) (-1.63647582349e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0.000112900069808,0) (2.39434678957e-08,0) (-3.18794595812e-08,0) (-7.64387632643e-07,0) (-4.04714128858e-08,0) (-6.75619816197e-05,0) (2.70151952495e-06,0) (1.58109851187e-08,0) (-5.90334598857e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (4.29897955761e-06,0) (3.00073300704e-08,0) (-4.34376817661e-08,0) (-7.3524628091e-07,0) (-0.128793219648,0) (-1.19551830663e-05,0) (-3.62033938485e-08,0) (-5.01409968484e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-2.37365433348e-05,0) (-5.50380244919e-07,0) (-5.51098851328e-06,0) (-2.24673301209e-06,0) (2.03491745463e-08,0) (1.28841883207e-05,0) (-3.80515933758e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-3.54863674163e-08,0) (-1.03713981379e-08,0) (-1.53304037128e-09,0) (4.11580474199e-06,0) (-0.1093572883,0) (8.20201471546e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0.00010883622608,0) (3.62050588064e-08,0) (2.55251946626e-07,0) (-3.10733108733e-08,0) (3.08887540859e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.34446094004e-06,0) (1.44338101426e-08,0) (-3.20890814199e-09,0) (-1.35954285336e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.75426681865e-05,0) (8.18220370958e-08,0) (5.56277377587e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-7.82936212893e-06,0) (5.07116372363e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-1.57687718766e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)  
