SzSz = (24,24) 
(0,0) (-0.142654039728,0) (2.27553046465e-10,0) (1.7829552863e-10,0) (4.33442987572e-08,0) (-3.52277935737e-08,0) (1.21351886487e-09,0) (-2.38361782024e-10,0) (-4.98948368172e-10,0) (-4.83276341143e-15,0) (1.86550573033e-14,0) (-1.07508205959e-10,0) (5.7617055926e-13,0) (-1.33537340424e-14,0) (1.93376123905e-14,0) (-3.46824541209e-13,0) (4.30773423383e-13,0) (-3.5105134814e-13,0) (-2.20145012291e-16,0) (3.24255406709e-17,0) (-3.9965880548e-17,0) (5.51079196852e-15,0) (-4.51199546076e-15,0) (1.44136264802e-16,0)  
(0,0) (0,0) (-2.46788356032e-10,0) (-1.01906736926e-10,0) (-5.48661825917e-08,0) (5.37199428892e-08,0) (-4.50474903682e-10,0) (2.03172053072e-10,0) (4.63915511388e-10,0) (-2.63435440926e-14,0) (2.01468694069e-17,0) (7.26259785107e-11,0) (-7.24061903121e-13,0) (4.70401019642e-14,0) (-5.09607197892e-14,0) (3.24540449882e-13,0) (-3.47240435514e-13,0) (3.90163458005e-13,0) (1.36684256998e-16,0) (4.74348370135e-17,0) (1.86651976034e-17,0) (-7.64869642535e-15,0) (5.00401969628e-15,0) (-8.30800044721e-20,0)  
(0,0) (0,0) (0,0) (-2.89199099769e-07,0) (7.74892896891e-11,0) (-6.40370578572e-11,0) (6.77532762021e-06,0) (-0.141245046544,0) (-6.60912901175e-06,0) (-2.92800152451e-07,0) (4.37643738349e-07,0) (4.11057217319e-07,0) (0.000118841616401,0) (-1.3260870514e-07,0) (9.29706981956e-08,0) (-1.22366767721e-06,0) (5.57828744899e-07,0) (-0.000119960925021,0) (2.65517496224e-11,0) (-1.34730072318e-11,0) (3.95410426283e-11,0) (1.10635481756e-11,0) (2.77525395933e-11,0) (-2.54782597613e-11,0)  
(0,0) (0,0) (0,0) (0,0) (-1.90067841512e-10,0) (2.13008608744e-10,0) (5.15098708245e-07,0) (3.22897046686e-07,0) (-5.0558491726e-07,0) (-1.49654136376e-05,0) (1.69807911393e-05,0) (-0.142463854072,0) (-7.07994999857e-06,0) (8.18463396877e-07,0) (-1.93619154708e-06,0) (-0.000324565400288,0) (0.000326054729413,0) (9.21402192792e-06,0) (-2.26161572939e-09,0) (-3.00141821456e-08,0) (2.52620453906e-08,0) (-2.13354368695e-10,0) (4.03392558372e-10,0) (2.37281338487e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (-0.141996288745,0) (5.09675038936e-11,0) (-2.35925151823e-10,0) (-1.20496039147e-11,0) (1.27806105959e-13,0) (-1.48983527071e-13,0) (-7.86676952786e-12,0) (3.04773109498e-13,0) (5.32481544371e-14,0) (-6.00701303346e-14,0) (5.34182976459e-13,0) (-2.31193074711e-13,0) (-2.85809455328e-13,0) (4.5683692523e-17,0) (7.56975747122e-17,0) (-1.84274456362e-17,0) (-3.12959751058e-16,0) (1.02604540566e-15,0) (-8.0540855896e-17,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (5.14607329698e-11,0) (1.4281421043e-10,0) (-2.93509889226e-11,0) (-1.95563637042e-13,0) (1.3509231338e-13,0) (-5.8723501251e-11,0) (-2.72835875461e-13,0) (-5.79069873921e-14,0) (3.67899664091e-14,0) (-5.98424829492e-13,0) (3.44081709917e-13,0) (2.68675547751e-13,0) (-1.51828302587e-16,0) (-5.99888636261e-17,0) (6.24858657362e-17,0) (8.70900411977e-16,0) (-1.64049392281e-15,0) (2.14641031352e-16,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-7.71120341888e-06,0) (-0.13386732589,0) (7.94950869376e-06,0) (-8.05532163251e-06,0) (-5.06191803559e-07,0) (1.19655912907e-07,0) (2.32731468471e-06,0) (-2.10654247362e-06,0) (7.14349756559e-09,0) (-1.03842940963e-09,0) (-1.78734018425e-07,0) (-9.10991867918e-11,0) (2.6424872104e-12,0) (-3.01994995014e-13,0) (2.04207155446e-10,0) (-1.27266361552e-10,0) (-1.39521142683e-10,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.077559516e-05,0) (3.65797356701e-07,0) (-4.73345193143e-07,0) (-5.58940098521e-07,0) (-0.000122596642882,0) (2.15180693158e-07,0) (-6.55291911285e-08,0) (1.61250946638e-06,0) (-7.47328033261e-07,0) (0.000155896941635,0) (-4.07438359669e-11,0) (2.35097582209e-11,0) (-1.10381703967e-11,0) (1.89220986868e-11,0) (-4.46882748166e-11,0) (5.25565872469e-11,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-7.9094953676e-06,0) (1.29913117147e-05,0) (3.31605454138e-07,0) (-6.79846121567e-08,0) (-2.11832405332e-06,0) (2.04369601887e-06,0) (2.01615827726e-09,0) (-4.53098637802e-09,0) (1.08247154527e-07,0) (-2.67243846055e-11,0) (-4.24620900426e-12,0) (-7.79705755344e-13,0) (-1.88013801034e-10,0) (1.08550436719e-10,0) (2.89110733649e-10,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.133201426636,0) (1.45881064613e-05,0) (-9.68512153624e-07,0) (0.0223359127931,0) (-0.0364731759267,0) (-8.86336934641e-06,0) (8.84338369261e-06,0) (7.86781708274e-07,0) (-1.44607629406e-06,0) (-4.54117336945e-09,0) (7.1217085632e-09,0) (2.19080990846e-09,0) (1.19994630133e-08,0) (1.58257622427e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-2.32380062522e-05,0) (7.84497357776e-07,0) (-0.0218347690814,0) (0.0220958782047,0) (9.31186216697e-06,0) (-8.44452358453e-06,0) (-6.91325659339e-07,0) (1.46943390421e-06,0) (5.67976835792e-09,0) (-1.13743252793e-08,0) (-1.58439047596e-09,0) (-1.16905383918e-08,0) (-1.9317349776e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.02853413068e-05,0) (6.16871376317e-06,0) (-4.38202915623e-06,0) (0.00032667755478,0) (-0.000565859174671,0) (-1.31637679003e-05,0) (1.63376587361e-09,0) (4.9837019583e-08,0) (-4.66447064002e-08,0) (-6.63224019405e-11,0) (-2.0820394011e-10,0) (-1.33506378897e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-1.17172987163e-05,0) (8.64941068742e-06,0) (-1.59151628888e-05,0) (1.5967707405e-05,0) (-0.14608614474,0) (5.20720245352e-09,0) (1.09108266137e-08,0) (-9.86853625193e-09,0) (-2.0090699009e-07,0) (2.00291193258e-07,0) (-5.85488770252e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.134027838816,0) (-8.46766110658e-05,0) (8.08913094733e-05,0) (6.77979521698e-06,0) (-1.7670285208e-05,0) (-2.34503099836e-07,0) (2.97459441468e-07,0) (2.99508257578e-08,0) (5.8986388824e-08,0) (1.14231603999e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0.000124071184594,0) (-7.64950217099e-05,0) (-9.16500502214e-06,0) (1.21983814422e-05,0) (1.82271567514e-07,0) (-2.18698688854e-07,0) (-1.97658745888e-08,0) (-5.01548254056e-08,0) (-1.23351486226e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.137874519318,0) (1.56976784015e-05,0) (2.96079306057e-07,0) (1.79428024222e-05,0) (-1.89271476039e-05,0) (-2.50250303254e-09,0) (-2.08905792263e-08,0) (-2.48854526956e-07,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-2.54845409478e-05,0) (-3.78739853206e-07,0) (-2.01367628845e-05,0) (1.99780368955e-05,0) (-1.51983833103e-10,0) (3.72903010574e-08,0) (3.48430268728e-07,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-6.28814493076e-09,0) (-9.8795258083e-09,0) (9.90315502729e-09,0) (1.99090892142e-07,0) (-3.31041843434e-07,0) (5.80032871959e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0.000110366466782,0) (-7.52196680019e-05,0) (-1.14285828801e-05,0) (1.17183327818e-05,0) (-0.136775240783,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.134356942658,0) (-1.24741487217e-05,0) (1.6834499701e-05,0) (-6.39148449412e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.85153969713e-05,0) (-1.74578909072e-05,0) (7.42615272566e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.146907612828,0) (1.09569177e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-1.80572134175e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)  
